,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
267,858,574,142,284,574,57,265,85,76,839,85,161
268,251,112,749,139,112,400,103,349,436,215,349,785
269,863,575,137,288,575,51,273,86,66,848,86,152
270,256,121,744,135,121,381,100,363,416,221,363,779
271,886,554,114,332,554,52,312,62,72,866,62,134
272,223,106,777,117,106,390,95,387,412,201,387,799
273,871,553,129,318,553,41,308,88,51,861,88,139
274,244,116,756,128,116,387,100,369,415,216,369,784
275,867,581,133,286,581,60,273,73,73,854,73,146
276,234,104,766,130,104,410,93,356,447,197,356,803
277,855,547,145,308,547,50,283,95,75,830,95,170
278,237,111,763,126,111,405,94,358,437,205,358,795
279,861,566,139,295,566,66,279,73,82,845,73,155
280,254,120,746,134,120,402,90,344,446,210,344,790
281,878,541,122,337,541,56,310,66,83,851,66,149
282,211,98,789,113,98,368,80,421,401,178,421,822
283,860,566,140,294,566,51,279,89,66,845,89,155
284,242,110,758,132,110,391,89,367,434,199,367,801
285,867,546,133,321,546,56,297,77,80,843,77,157
286,239,114,761,125,114,398,96,363,427,210,363,790
287,861,548,139,313,548,65,306,74,72,854,74,146
288,230,111,770,119,111,402,83,368,438,194,368,806
289,868,567,132,301,567,53,280,79,74,847,79,153
290,245,111,755,134,111,392,99,363,427,210,363,790
291,873,575,127,298,575,57,282,70,73,857,70,143
292,231,115,769,116,115,398,85,371,429,200,371,800
293,854,533,146,321,533,49,304,97,66,837,97,163
294,232,102,768,130,102,400,106,368,424,208,368,792
295,853,556,147,297,556,62,290,85,69,846,85,154
296,245,107,755,138,107,360,102,395,396,209,395,791
297,878,598,122,280,598,50,262,72,68,860,72,140
298,232,108,768,124,108,385,91,383,418,199,383,801
299,859,545,141,314,545,59,299,82,74,844,82,156
300,252,106,748,146,106,395,104,353,437,210,353,790
301,874,553,126,321,553,55,311,71,65,864,71,136
302,242,94,758,148,94,400,115,358,433,209,358,791
303,871,567,129,304,567,55,288,74,71,855,74,145
304,238,105,762,133,105,402,96,360,439,201,360,799
305,886,576,114,310,576,39,289,75,60,865,75,135
306,227,108,773,119,108,397,88,376,428,196,376,804
307,865,532,135,333,532,56,320,79,69,852,79,148
308,211,82,789,129,82,400,101,389,428,183,389,817
309,850,565,150,285,565,60,267,90,78,832,90,168
310,248,106,752,142,106,360,89,392,413,195,392,805
311,876,569,124,307,569,44,285,80,66,854,80,146
312,241,112,759,129,112,413,85,346,457,197,346,803
313,883,550,117,333,550,46,308,71,71,858,71,142
314,239,105,761,134,105,373,98,388,409,203,388,797
315,872,591,128,281,591,46,267,82,60,858,82,142
316,208,93,792,115,93,417,78,375,454,171,375,829
317,847,571,153,276,571,46,262,107,60,833,107,167
318,250,113,750,137,113,395,92,355,440,205,355,795
319,893,573,107,320,573,39,299,68,60,872,68,128
320,243,106,757,137,106,402,113,355,426,219,355,781
321,874,559,126,315,559,59,303,67,71,862,67,138
322,237,110,763,127,110,389,100,374,416,210,374,790
323,877,540,123,337,540,39,323,84,53,863,84,137
324,208,100,792,108,100,383,81,409,410,181,409,819
325,848,547,152,301,547,51,290,101,62,837,101,163
326,234,102,766,132,102,376,92,390,416,194,390,806
327,870,593,130,277,593,45,256,85,66,849,85,151
328,253,123,747,130,123,388,81,359,437,204,359,796
329,875,544,125,331,544,45,306,80,70,850,80,150
330,249,117,751,132,117,379,95,372,416,212,372,788
331,870,556,130,314,556,55,292,75,77,848,75,152
332,236,105,764,131,105,374,102,390,403,207,390,793
333,860,564,140,296,564,52,285,88,63,849,88,151
334,235,112,765,123,112,371,87,394,407,199,394,801
335,875,573,125,302,573,46,283,79,65,856,79,144
336,235,110,765,125,110,396,89,369,432,199,369,801
337,864,564,136,300,564,52,284,84,68,848,84,152
338,232,100,768,132,100,409,91,359,450,191,359,809
339,853,575,147,278,575,69,257,78,90,832,78,168
340,257,110,743,147,110,378,89,365,436,199,365,801
341,873,559,127,314,559,49,284,78,79,843,78,157
342,237,97,763,140,97,388,109,375,419,206,375,794
343,858,587,142,271,587,51,253,91,69,840,91,160
344,251,120,749,131,120,375,88,374,418,208,374,792
345,885,555,115,330,555,44,302,71,72,857,71,143
346,229,118,771,111,118,410,83,361,438,201,361,799
347,865,561,135,304,561,52,289,83,67,850,83,150
348,232,102,768,130,102,389,85,379,434,187,379,813
349,870,563,130,307,563,49,289,81,67,852,81,148
350,225,99,775,126,99,378,93,397,411,192,397,808
351,870,571,130,299,571,43,278,87,64,849,87,151
352,254,127,746,127,127,429,84,317,472,211,317,789
353,870,548,130,322,548,59,302,71,79,850,71,150
354,224,112,776,112,112,364,90,412,386,202,412,798
355,863,562,137,301,562,52,291,85,62,853,85,147
356,230,108,770,122,108,412,85,358,449,193,358,807
357,867,576,133,291,576,57,274,76,74,850,76,150
358,243,106,757,137,106,370,100,387,407,206,387,794
359,864,561,136,303,561,54,289,82,68,850,82,150
360,243,105,757,138,105,388,96,369,430,201,369,799
361,856,543,144,313,543,57,286,87,84,829,87,171
362,247,105,753,142,105,384,100,369,426,205,369,795
363,880,567,120,313,567,55,291,65,77,858,65,142
364,235,110,765,125,110,376,92,389,409,202,389,798
365,857,566,143,291,566,57,278,86,70,844,86,156
366,237,98,763,139,98,397,91,366,445,189,366,811
367,865,546,135,319,546,54,298,81,75,844,81,156
368,247,111,753,136,111,390,96,363,430,207,363,793
369,883,618,117,265,618,46,250,71,61,868,71,132
370,224,108,776,116,108,385,86,391,415,194,391,806
371,872,560,128,312,560,48,296,80,64,856,80,144
372,236,102,764,134,102,411,92,353,453,194,353,806
373,875,570,125,305,570,42,286,83,61,856,83,144
374,243,109,757,134,109,382,93,375,423,202,375,798
375,870,543,130,327,543,52,314,78,65,857,78,143
376,228,93,772,135,93,418,103,354,450,196,354,804
377,867,568,133,299,568,54,281,79,72,849,79,151
378,242,112,758,130,112,376,96,382,410,208,382,792
379,874,577,126,297,577,40,286,86,51,863,86,137
380,218,102,782,116,102,390,84,392,422,186,392,814
381,867,565,133,302,565,45,287,88,60,852,88,148
382,215,97,785,118,97,395,87,390,426,184,390,816
383,866,533,134,333,533,51,316,83,68,849,83,151
384,249,115,751,134,115,363,96,388,401,211,388,789
385,868,564,132,304,564,49,283,83,70,847,83,153
386,227,94,773,133,94,392,89,381,436,183,381,817
387,857,554,143,303,554,56,281,87,78,835,87,165
388,241,108,759,133,108,397,94,362,436,202,362,798
389,871,577,129,294,577,64,268,65,90,845,65,155
390,243,110,757,133,110,394,88,363,439,198,363,802
391,856,570,144,286,570,54,267,90,73,837,90,163
392,253,113,747,140,113,409,104,338,445,217,338,783
393,878,581,122,297,581,58,278,64,77,859,64,141
394,238,113,762,125,113,393,89,369,429,202,369,798
395,867,554,133,313,554,51,289,82,75,843,82,157
396,247,118,753,129,118,368,84,385,413,202,385,798
397,881,560,119,321,560,41,305,78,57,865,78,135
398,229,113,771,116,113,394,82,377,428,195,377,805
399,852,535,148,317,535,46,298,102,65,833,102,167
400,249,110,751,139,110,399,99,352,439,209,352,791
401,870,541,130,329,541,52,305,78,76,846,78,154
402,247,117,753,130,117,374,100,379,404,217,379,783
403,884,581,116,303,581,47,291,69,59,872,69,128
404,227,105,773,122,105,368,91,405,399,196,405,804
405,848,552,152,296,552,58,280,94,74,832,94,168
406,239,108,761,131,108,393,86,368,438,194,368,806
407,856,565,144,291,565,55,271,89,75,836,89,164
408,242,109,758,133,109,409,95,349,447,204,349,796
409,882,562,118,320,562,49,300,69,69,862,69,138
410,224,101,776,123,101,426,87,350,462,188,350,812
411,857,564,143,293,564,63,282,80,74,846,80,154
412,234,85,766,149,85,377,99,389,427,184,389,816
413,871,552,129,319,552,47,302,82,64,854,82,146
414,246,103,754,143,103,392,107,362,428,210,362,790
415,891,564,109,327,564,42,309,67,60,873,67,127
416,231,116,769,115,116,401,95,368,421,211,368,789
417,861,555,139,306,555,47,299,92,54,854,92,146
418,242,121,758,121,121,364,86,394,399,207,394,793
419,887,583,113,304,583,32,288,81,48,871,81,129
420,208,102,792,106,102,411,80,381,437,182,381,818
421,868,572,132,296,572,56,285,76,67,857,76,143
422,240,108,760,132,108,378,89,382,421,197,382,803
423,862,566,138,296,566,51,276,87,71,842,87,158
424,238,102,762,136,102,384,102,378,418,204,378,796
425,857,579,143,278,579,48,257,95,69,836,95,164
426,246,106,754,140,106,404,89,350,455,195,350,805
427,876,553,124,323,553,60,300,64,83,853,64,147
428,235,108,765,127,108,379,96,386,410,204,386,796
429,872,562,128,310,562,48,298,80,60,860,80,140
430,229,101,771,128,101,390,95,381,423,196,381,804
431,872,550,128,322,550,52,302,76,72,852,76,148
432,225,97,775,128,97,368,101,407,395,198,407,802
433,873,572,127,301,572,39,281,88,59,853,88,147
434,237,111,763,126,111,391,96,372,421,207,372,793
435,865,532,135,333,532,41,317,94,57,849,94,151
436,244,111,756,133,111,400,93,356,440,204,356,796
437,874,587,126,287,587,49,271,77,65,858,77,142
438,239,118,761,121,118,365,95,396,391,213,396,787
439,860,553,140,307,553,56,296,84,67,849,84,151
440,228,98,772,130,98,394,91,378,433,189,378,811
441,871,568,129,303,568,51,286,78,68,854,78,146
442,237,103,763,134,103,387,86,376,435,189,376,811
443,864,567,136,297,567,58,278,78,77,845,78,155
444,246,94,754,152,94,401,111,353,442,205,353,795
445,885,594,115,291,594,52,274,63,69,868,63,132
446,254,128,746,126,128,399,89,347,436,217,347,783
447,874,551,126,323,551,51,308,75,66,859,75,141
448,239,108,761,131,108,368,102,393,397,210,393,790
449,860,568,140,292,568,56,280,84,68,848,84,152
450,238,111,762,127,111,393,84,369,436,195,369,805
451,868,574,132,294,574,53,276,79,71,850,79,150
452,226,112,774,114,112,396,74,378,436,186,378,814
453,862,550,138,312,550,53,292,85,73,842,85,158
