,Route0,Route1,Route2,Route3,Route4,Route5
77,570,290,23,2,48,67
78,101,96,47,3,385,368
79,561,287,28,3,56,65
80,106,88,46,3,379,378
81,560,301,17,2,50,70
82,108,86,42,5,388,371
83,576,272,21,5,49,77
84,114,76,44,10,377,379
85,551,298,23,5,40,83
86,102,103,38,7,406,344
87,564,292,18,5,49,72
88,113,89,43,5,401,349
89,581,275,25,3,50,66
90,122,85,41,5,400,347
91,568,285,23,2,57,65
92,100,92,42,4,359,403
93,571,277,21,3,53,75
94,110,86,49,6,381,368
95,520,310,30,4,42,94
96,111,84,42,7,366,390
97,565,274,20,2,55,84
98,113,94,37,5,390,361
99,541,299,18,6,54,82
100,114,98,37,4,384,363
101,570,289,18,5,55,63
102,103,91,44,6,386,370
103,579,270,24,3,50,74
104,116,79,43,4,394,364
105,561,279,22,7,51,80
106,115,94,36,5,392,358
107,582,282,20,3,41,72
108,107,84,39,2,367,401
109,550,289,24,3,54,80
110,99,96,46,9,385,365
111,560,284,20,7,57,72
112,105,92,40,7,387,369
113,580,267,22,6,43,82
114,107,84,46,7,374,382
115,565,276,22,3,48,86
116,122,82,47,4,373,372
117,558,298,20,2,40,82
118,114,84,43,7,395,357
119,551,305,16,7,54,67
120,93,86,33,3,364,421
121,562,285,17,3,50,83
122,105,100,50,2,404,339
123,587,271,30,2,48,62
124,120,89,46,3,388,354
125,542,319,26,3,49,61
126,96,92,27,5,394,386
127,539,297,11,4,56,93
128,100,89,42,6,398,365
129,562,262,23,5,55,93
130,111,82,43,10,379,375
131,568,258,23,7,52,92
132,116,79,54,7,387,357
133,584,278,32,3,34,69
134,103,100,42,7,381,367
135,578,280,18,7,45,72
136,116,81,40,8,391,364
137,539,309,23,6,47,76
138,107,93,40,9,370,381
139,550,285,22,4,50,89
140,97,87,45,4,378,389
141,547,291,30,5,48,79
142,118,77,35,3,376,391
143,546,309,19,1,46,79
144,96,100,38,3,404,359
145,604,254,14,2,48,78
146,115,80,50,1,370,384
147,555,273,31,1,46,94
148,114,95,47,6,396,342
149,578,277,23,6,45,71
150,99,97,34,9,386,375
151,574,271,18,5,51,81
152,101,93,45,4,367,390
153,555,288,22,4,47,84
154,116,81,37,4,381,381
155,528,302,17,5,53,95
156,98,95,46,5,386,370
157,566,261,25,3,61,84
158,119,94,48,3,384,352
159,566,286,31,1,46,70
160,117,81,45,5,398,354
161,533,304,23,3,56,81
162,111,89,40,7,367,386
163,556,288,24,4,43,85
164,103,88,40,6,396,367
165,559,293,22,5,61,60
166,94,93,43,4,392,374
167,567,272,21,4,49,87
168,97,97,48,6,385,367
169,550,294,20,3,53,80
170,102,94,43,6,378,377
171,564,284,23,2,47,80
172,97,97,50,7,371,378
173,571,275,27,9,48,70
